Property_Class,Property_Address,Property_City,Sale_Date,Sale_Price,Land_Square_Feet,Age,Rooms,Bedrooms,Basement,Central_Heating,Central_Air_Conditioning,Fireplaces,Full_Baths,Half_Baths,Sale_Year,Sale_Month
204,6772 N DOWAGIAC AVE,CHICAGO,2019-01-07,549000.0,6500.0,80,8,5,Full,Warm Air Furnace,Central A/C,1.0,8,1.0,2019,1
202,7116 W SCHREIBER AVE,CHICAGO,2020-11-20,190000.0,3125.0,82,5,2,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2020,11
234,2853 W FITCH AVE,CHICAGO,2020-11-12,384770.0,3968.0,68,6,3,Partial,Warm Air Furnace,Central A/C,0.0,6,1.0,2020,11
205,2820 W JARVIS AVE,CHICAGO,2019-10-28,359000.0,4340.0,80,6,3,Full,Warm Air Furnace,No Central A/C,1.0,6,1.0,2019,10
203,7348 N OVERHILL AVE,CHICAGO,2018-08-01,350000.0,5625.0,66,5,2,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2018,8
205,6656 N SIOUX AVE,CHICAGO,2018-06-05,530000.0,5900.0,74,7,4,Partial,Warm Air Furnace,Central A/C,2.0,7,1.0,2018,6
203,7077 N MASON AVE,CHICAGO,2020-11-16,282000.0,5625.0,70,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2020,11
203,7225 W IBSEN ST,CHICAGO,2018-07-09,479900.0,5200.0,93,6,2,Full,Warm Air Furnace,Central A/C,0.0,6,0.0,2018,7
203,2524 W COYLE AVE,CHICAGO,2019-08-01,415000.0,4216.0,95,6,3,Full,Hot Water Steam,No Central A/C,0.0,6,1.0,2019,8
203,6435 N WHIPPLE ST,CHICAGO,2019-06-05,250000.0,4062.0,67,7,3,Full,Warm Air Furnace,Central A/C,0.0,7,1.0,2019,6
278,7309 N OLEANDER AVE,CHICAGO,2018-11-19,637500.0,3750.0,57,8,4,Full,Hot Water Steam,Central A/C,1.0,8,1.0,2018,11
206,6806 N OSCEOLA AVE,CHICAGO,2020-10-06,595000.0,7350.0,130,11,5,Full,Hot Water Steam,Central A/C,2.0,11,0.0,2020,10
205,7255 W LUNT AVE,CHICAGO,2020-12-31,610000.0,4720.0,104,9,4,Full,Warm Air Furnace,Central A/C,0.0,9,0.0,2020,12
203,6608 W SCHREIBER AVE,CHICAGO,2019-01-10,350000.0,3750.0,69,6,4,Full,Warm Air Furnace,Central A/C,0.0,6,0.0,2019,1
203,6950 N OLEANDER AVE,CHICAGO,2019-05-22,455000.0,8085.0,73,6,3,Partial,Warm Air Furnace,Central A/C,1.0,6,1.0,2019,5
204,7030 N HIAWATHA AVE,CHICAGO,2018-05-10,691000.0,6996.0,68,7,4,Slab,Warm Air Furnace,Central A/C,2.0,7,0.0,2018,5
204,6851 N OSCEOLA AVE,CHICAGO,2020-02-21,350000.0,5512.0,93,7,4,Full,Hot Water Steam,No Central A/C,0.0,7,1.0,2020,2
278,6454 N OLYMPIA AVE,CHICAGO,2020-11-29,925000.0,5375.0,6,8,4,Full,Warm Air Furnace,Central A/C,1.0,8,1.0,2020,11
203,6722 N ALGONQUIN AVE,CHICAGO,2018-09-10,415000.0,6169.0,85,6,3,Full,Warm Air Furnace,Central A/C,1.0,6,1.0,2018,9
202,7332 N OCTAVIA AVE,CHICAGO,2018-05-04,247000.0,3750.0,66,5,3,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2018,5
205,2957 W LUNT AVE,CHICAGO,2019-11-05,400000.0,3936.0,72,7,3,Full,Warm Air Furnace,Central A/C,1.0,7,1.0,2019,11
205,6963 N OTTAWA AVE,CHICAGO,2020-09-30,431000.0,5310.0,74,6,4,Full,Warm Air Furnace,Central A/C,1.0,6,1.0,2020,9
203,7057 N MANKATO AVE,CHICAGO,2018-07-03,410000.0,6103.0,70,5,2,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2018,7
205,7408 N ODELL AVE,CHICAGO,2020-02-21,637500.0,5125.0,75,7,4,Partial,Warm Air Furnace,Central A/C,0.0,7,1.0,2020,2
295,7311 N CAMPBELL AVE,CHICAGO,2020-11-02,230000.0,2289.0,61,5,3,Full,Warm Air Furnace,Central A/C,0.0,5,1.0,2020,11
205,2922 W CHASE AVE,CHICAGO,2020-04-02,317500.0,3720.0,81,6,3,Full,Warm Air Furnace,Central A/C,1.0,6,1.0,2020,4
295,6518 N NORTHWEST HWY,CHICAGO,2020-08-20,260000.0,4550.0,62,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,1.0,2020,8
203,6437 N WHIPPLE ST,CHICAGO,2020-04-02,240000.0,4062.0,67,6,3,Full,Warm Air Furnace,No Central A/C,0.0,6,1.0,2020,4
203,6751 N SAUGANASH AVE,CHICAGO,2020-10-28,410000.0,4682.0,45,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,1.0,2020,10
205,2933 W GREENLEAF AVE,CHICAGO,2018-08-20,455000.0,3936.0,90,8,4,Full,Hot Water Steam,No Central A/C,0.0,8,1.0,2018,8
203,6962 N OWEN AVE,CHICAGO,2020-07-22,300000.0,3500.0,58,5,3,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2020,7
205,7141 N OTTAWA AVE,CHICAGO,2018-05-14,530000.0,6390.0,72,8,4,Full,Warm Air Furnace,Central A/C,0.0,8,1.0,2018,5
202,7121 W ARTHUR AVE,CHICAGO,2020-11-01,274000.0,6250.0,98,5,2,Partial,Warm Air Furnace,Central A/C,0.0,5,0.0,2020,11
205,6662 W SCHREIBER AVE,CHICAGO,2018-03-19,478900.0,4250.0,74,6,4,Full,Warm Air Furnace,No Central A/C,0.0,6,0.0,2018,3
204,6712 N FAIRFIELD AVE,CHICAGO,2020-07-09,325075.0,4125.0,73,7,4,Full,Hot Water Steam,No Central A/C,0.0,7,1.0,2020,7
203,7024 N ORIOLE AVE,CHICAGO,2018-10-17,350000.0,5462.0,96,6,4,Full,Warm Air Furnace,No Central A/C,0.0,6,1.0,2018,10
278,6650 N ODELL AVE,CHICAGO,2018-05-22,852000.0,6200.0,6,10,5,Full,Warm Air Furnace,Central A/C,1.0,10,1.0,2018,5
203,7229 N OLCOTT AVE,CHICAGO,2019-07-17,268000.0,5250.0,69,6,3,Full,Warm Air Furnace,No Central A/C,0.0,6,0.0,2019,7
202,7434 N ODELL AVE,CHICAGO,2020-08-28,399000.0,4500.0,70,5,2,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2020,8
203,6804 N DOWAGIAC AVE,CHICAGO,2019-06-10,505000.0,5130.0,51,5,3,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2019,6
205,6918 N MENDOTA AVE,CHICAGO,2020-10-19,515000.0,6250.0,72,5,3,Partial,Warm Air Furnace,No Central A/C,0.0,5,1.0,2020,10
202,3017 W FARGO AVE,CHICAGO,2018-05-04,268000.0,3720.0,71,4,2,Full,Warm Air Furnace,No Central A/C,1.0,4,1.0,2018,5
206,6984 N TONTY AVE,CHICAGO,2018-08-01,420000.0,5700.0,82,8,4,Partial,Warm Air Furnace,Central A/C,1.0,8,1.0,2018,8
205,7154 N MOODY AVE,CHICAGO,2020-12-23,680000.0,4924.0,69,7,2,Full,Warm Air Furnace,Central A/C,0.0,7,0.0,2020,12
203,2720 W JARVIS AVE,CHICAGO,2020-12-28,520000.0,6000.0,70,7,4,Full,Warm Air Furnace,Central A/C,2.0,7,1.0,2020,12
205,7307 N MCVICKER AVE,CHICAGO,2019-08-12,495000.0,5160.0,70,6,4,Full,Warm Air Furnace,No Central A/C,0.0,6,0.0,2019,8
203,6700 N HIAWATHA AVE,CHICAGO,2018-05-04,150000.0,6418.0,66,6,3,Full,Warm Air Furnace,No Central A/C,1.0,6,0.0,2018,5
234,6960 N CENTRAL AVE,CHICAGO,2020-02-22,337500.0,4881.0,49,6,3,Partial,Warm Air Furnace,Central A/C,0.0,6,1.0,2020,2
278,7217 W COYLE AVE,CHICAGO,2018-05-02,745000.0,5310.0,17,6,4,Full,Warm Air Furnace,Central A/C,1.0,6,2.0,2018,5
278,6643 N OCONTO AVE,CHICAGO,2018-10-10,682500.0,4166.0,3,8,4,Full,Warm Air Furnace,Central A/C,0.0,8,1.0,2018,10
203,7119 W ARTHUR AVE,CHICAGO,2019-11-08,270000.0,4687.0,65,5,2,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2019,11
203,6733 N ODELL AVE,CHICAGO,2020-12-10,335000.0,4166.0,93,7,4,Full,Warm Air Furnace,No Central A/C,0.0,7,1.0,2020,12
278,6576 N OCONTO AVE,CHICAGO,2018-08-09,713000.0,4166.0,64,8,5,Full,Warm Air Furnace,Central A/C,0.0,8,0.0,2018,8
206,7334 W FARWELL AVE,CHICAGO,2018-07-12,720000.0,4332.0,81,9,5,Full,Warm Air Furnace,Central A/C,1.0,9,1.0,2018,7
203,6950 N MCALPIN AVE,CHICAGO,2020-11-20,425000.0,6250.0,70,5,3,Partial,Warm Air Furnace,Central A/C,0.0,5,1.0,2020,11
203,7425 W HOWARD ST,CHICAGO,2019-04-17,260000.0,3500.0,65,4,2,Full,Warm Air Furnace,Central A/C,0.0,4,0.0,2019,4
203,7422 W DEVON AVE,CHICAGO,2020-10-25,417500.0,4125.0,68,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2020,10
203,6730 N FAIRFIELD AVE,CHICAGO,2018-09-21,231000.0,4125.0,97,5,2,Full,Hot Water Steam,No Central A/C,0.0,5,0.0,2018,9
203,6634 N ROCKWELL ST,CHICAGO,2018-04-27,352000.0,4125.0,99,7,4,Full,Hot Water Steam,No Central A/C,0.0,7,0.0,2018,4
205,2825 W PRATT BLVD,CHICAGO,2020-03-30,370000.0,3941.0,66,7,4,Full,Warm Air Furnace,Central A/C,0.0,7,1.0,2020,3
295,7231 N CAMPBELL AVE,CHICAGO,2019-05-06,208000.0,1868.0,60,5,3,Full,Warm Air Furnace,Central A/C,0.0,5,1.0,2019,5
203,6801 N OSCEOLA AVE,CHICAGO,2020-08-14,345000.0,3969.0,83,7,3,Full,Hot Water Steam,No Central A/C,0.0,7,0.0,2020,8
203,7029 N HIAWATHA AVE,CHICAGO,2020-03-06,370000.0,6625.0,72,5,3,Slab,Warm Air Furnace,No Central A/C,0.0,5,0.0,2020,3
203,6523 N NIXON AVE,CHICAGO,2019-05-17,360000.0,3125.0,53,4,2,Slab,Warm Air Furnace,No Central A/C,0.0,4,0.0,2019,5
202,6508 N SAYRE AVE,CHICAGO,2018-07-30,318000.0,5212.0,74,6,2,Full,Warm Air Furnace,No Central A/C,0.0,6,1.0,2018,7
203,7310 N OLEANDER AVE,CHICAGO,2018-03-08,385000.0,4875.0,74,5,2,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2018,3
205,6727 N SIOUX AVE,CHICAGO,2018-03-22,565000.0,6200.0,79,6,4,Full,Warm Air Furnace,Central A/C,1.0,6,1.0,2018,3
202,7415 N ODELL AVE,CHICAGO,2019-07-24,435100.0,6000.0,70,4,2,Full,Warm Air Furnace,Central A/C,0.0,4,0.0,2019,7
203,7085 N CALDWELL AVE,CHICAGO,2019-05-13,290000.0,3750.0,65,4,2,Full,Warm Air Furnace,Central A/C,0.0,4,0.0,2019,5
205,7339 W IBSEN ST,CHICAGO,2020-09-30,450000.0,6500.0,96,7,3,Full,Warm Air Furnace,No Central A/C,1.0,7,1.0,2020,9
203,6544 N ALBANY AVE,CHICAGO,2018-10-15,350000.0,4750.0,68,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,1.0,2018,10
204,7004 N MCALPIN AVE,CHICAGO,2020-10-17,670000.0,7503.0,70,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,1.0,2020,10
203,6635 N MOZART ST,CHICAGO,2020-09-30,330000.0,4092.0,83,7,3,Full,Warm Air Furnace,Central A/C,1.0,7,0.0,2020,9
206,6869 N WILDWOOD AVE,CHICAGO,2020-11-01,850000.0,6840.0,75,6,4,Full,Warm Air Furnace,Central A/C,1.0,6,1.0,2020,11
203,6661 N ONARGA AVE,CHICAGO,2018-08-27,400000.0,6249.0,62,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,0.0,2018,8
203,2415 W MORSE AVE,CHICAGO,2019-06-03,299000.0,3100.0,101,4,2,Partial,Warm Air Furnace,No Central A/C,0.0,4,0.0,2019,6
203,6537 N TROY ST,CHICAGO,2020-10-20,325000.0,4375.0,64,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,0.0,2020,10
205,6685 N SIOUX AVE,CHICAGO,2018-08-23,622000.0,6200.0,83,7,4,Full,Warm Air Furnace,Central A/C,1.0,7,1.0,2018,8
278,7042 N SIOUX AVE,CHICAGO,2020-06-22,710000.0,6375.0,21,9,4,Full,Warm Air Furnace,Central A/C,2.0,9,1.0,2020,6
205,3021 W JARVIS AVE,CHICAGO,2020-03-16,382000.0,3720.0,83,7,3,Full,Warm Air Furnace,Central A/C,1.0,7,1.0,2020,3
204,7033 N LEOTI AVE,CHICAGO,2019-05-30,480000.0,5250.0,69,7,4,Partial,Warm Air Furnace,Central A/C,0.0,7,1.0,2019,5
204,6529 N OLIPHANT AVE,CHICAGO,2018-06-01,517000.0,4687.0,95,6,3,Full,Warm Air Furnace,No Central A/C,0.0,6,0.0,2018,6
203,7021 N OSCEOLA AVE,CHICAGO,2018-03-02,357000.0,7350.0,97,5,3,Full,Hot Water Steam,No Central A/C,1.0,5,0.0,2018,3
234,6933 N CHICORA AVE,CHICAGO,2019-08-09,675000.0,5450.0,48,8,2,Partial,Warm Air Furnace,Central A/C,0.0,8,1.0,2019,8
202,7232 N ORIOLE AVE,CHICAGO,2020-01-12,575000.0,3720.0,66,4,2,Full,Warm Air Furnace,Central A/C,0.0,4,0.0,2020,1
205,6886 N TONTY AVE,CHICAGO,2020-11-04,609000.0,6840.0,74,6,3,Full,Warm Air Furnace,Central A/C,2.0,6,1.0,2020,11
205,6622 N OSHKOSH AVE,CHICAGO,2020-04-07,460000.0,3750.0,94,9,4,Full,Warm Air Furnace,No Central A/C,0.0,9,0.0,2020,4
203,6646 N CHICORA AVE,CHICAGO,2020-11-22,568000.0,6200.0,70,7,4,Full,Warm Air Furnace,No Central A/C,1.0,7,1.0,2020,11
205,2750 W ESTES AVE,CHICAGO,2018-11-09,417000.0,3968.0,67,7,3,Full,Warm Air Furnace,Central A/C,0.0,7,1.0,2018,11
234,2817 W MORSE AVE,CHICAGO,2019-02-20,445500.0,5043.0,66,6,3,Partial,Warm Air Furnace,Central A/C,0.0,6,1.0,2019,2
234,6917 N CHICORA AVE,CHICAGO,2019-09-19,385000.0,5450.0,51,7,4,Partial,Warm Air Furnace,Central A/C,0.0,7,1.0,2019,9
205,3005 W SHERWIN AVE,CHICAGO,2020-10-09,545000.0,3720.0,72,6,3,Partial,Warm Air Furnace,Central A/C,1.0,6,1.0,2020,10
202,7523 N OKETO AVE,CHICAGO,2020-08-28,328000.0,3750.0,65,4,2,Full,Warm Air Furnace,Central A/C,0.0,4,0.0,2020,8
205,7014 N IONIA AVE,CHICAGO,2020-11-19,602000.0,5625.0,76,7,4,Partial,Warm Air Furnace,Central A/C,0.0,7,1.0,2020,11
203,7214 N OVERHILL AVE,CHICAGO,2019-06-06,380000.0,3750.0,66,5,3,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2019,6
234,6912 N MINNETONKA AVE,CHICAGO,2018-04-06,599000.0,5886.0,52,5,3,Partial,Warm Air Furnace,No Central A/C,0.0,5,0.0,2018,4
203,7354 N ODELL AVE,CHICAGO,2020-04-08,393000.0,5000.0,69,6,3,Full,Warm Air Furnace,Central A/C,1.0,6,0.0,2020,4
205,7151 N OLEANDER AVE,CHICAGO,2019-10-08,499900.0,7350.0,97,8,4,Full,Warm Air Furnace,Central A/C,0.0,8,0.0,2019,10
203,7426 N OCONTO AVE,CHICAGO,2020-05-08,372000.0,3750.0,66,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,1.0,2020,5
205,6614 N SIOUX AVE,CHICAGO,2018-01-03,620000.0,4691.0,72,5,3,Slab,Warm Air Furnace,No Central A/C,0.0,5,0.0,2018,1
205,7150 N MANKATO AVE,CHICAGO,2020-11-01,552000.0,7122.0,71,7,3,Full,Warm Air Furnace,Central A/C,1.0,7,0.0,2020,11
234,6559 N FRANCISCO AVE,CHICAGO,2020-02-22,432000.0,4125.0,66,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,1.0,2020,2
202,6611 W IMLAY ST,CHICAGO,2018-08-30,270000.0,3750.0,96,4,2,Full,Warm Air Furnace,Central A/C,0.0,4,0.0,2018,8
206,6827 N MENDOTA AVE,CHICAGO,2019-11-12,749000.0,8750.0,70,7,4,Slab,Warm Air Furnace,Central A/C,1.0,7,0.0,2019,11
203,6605 W IMLAY ST,CHICAGO,2019-04-08,339340.0,3750.0,48,5,3,Slab,Warm Air Furnace,No Central A/C,0.0,5,0.0,2019,4
234,6762 N CENTRAL AVE,CHICAGO,2019-07-05,375000.0,5875.0,48,5,3,Partial,Warm Air Furnace,No Central A/C,0.0,5,0.0,2019,7
234,6958 N DOWAGIAC AVE,CHICAGO,2018-01-19,446000.0,5000.0,45,7,3,Partial,Warm Air Furnace,No Central A/C,0.0,7,0.0,2018,1
203,6816 N TONTY AVE,CHICAGO,2020-09-17,395000.0,4560.0,55,4,3,Slab,Warm Air Furnace,No Central A/C,0.0,4,0.0,2020,9
234,6912 N ALGONQUIN AVE,CHICAGO,2018-01-03,485000.0,5450.0,52,5,3,Partial,Warm Air Furnace,No Central A/C,0.0,5,0.0,2018,1
278,7110 W SCHREIBER AVE,CHICAGO,2019-11-27,457500.0,3125.0,47,7,4,Partial,Warm Air Furnace,Central A/C,0.0,7,1.0,2019,11
206,6410 N NEW ENGLAND AVE,CHICAGO,2019-01-22,415000.0,3060.0,91,7,4,Full,Warm Air Furnace,Central A/C,0.0,7,0.0,2019,1
203,7125 N OSCEOLA AVE,CHICAGO,2019-11-22,468000.0,7350.0,97,7,4,Full,Warm Air Furnace,No Central A/C,0.0,7,1.0,2019,11
278,6462 N NOKOMIS AVE,CHICAGO,2019-07-23,750000.0,4960.0,32,10,4,Full,Warm Air Furnace,Central A/C,2.0,10,1.0,2019,7
203,6715 N DOWAGIAC AVE,CHICAGO,2019-07-03,375000.0,6439.0,63,5,2,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2019,7
205,6746 N KEOTA AVE,CHICAGO,2019-09-06,485000.0,6200.0,80,5,3,Partial,Warm Air Furnace,Central A/C,0.0,5,0.0,2019,9
203,6845 N OLCOTT AVE,CHICAGO,2019-09-05,365000.0,7350.0,92,6,4,Full,Warm Air Furnace,Central A/C,0.0,6,0.0,2019,9
203,6763 N OZANAM AVE,CHICAGO,2018-01-02,230000.0,3234.0,78,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2018,1
205,2518 W JARVIS AVE,CHICAGO,2018-10-04,425000.0,3720.0,65,7,4,Full,Warm Air Furnace,No Central A/C,0.0,7,1.0,2018,10
202,6528 N ALBANY AVE,CHICAGO,2019-11-05,271300.0,4375.0,69,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,0.0,2019,11
203,7506 N OCTAVIA AVE,CHICAGO,2020-06-22,352000.0,3750.0,65,5,3,Full,Hot Water Steam,No Central A/C,0.0,5,0.0,2020,6
295,2521 W JEROME ST,CHICAGO,2018-05-08,258600.0,1242.0,61,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,1.0,2018,5
295,6520 N NORTHWEST HWY,CHICAGO,2019-08-22,230000.0,4669.0,62,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,1.0,2019,8
203,7528 N ODELL AVE,CHICAGO,2019-02-19,335000.0,3750.0,65,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2019,2
203,6353 W ESTES AVE,CHICAGO,2019-09-17,312500.0,5647.0,68,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2019,9
202,6660 W HAYES AVE,CHICAGO,2020-06-15,255000.0,3750.0,69,4,2,Full,Warm Air Furnace,No Central A/C,0.0,4,0.0,2020,6
204,6654 N FAIRFIELD AVE,CHICAGO,2020-11-25,360000.0,3875.0,91,8,4,Full,Hot Water Steam,No Central A/C,0.0,8,0.0,2020,11
206,2933 W BIRCHWOOD AVE,CHICAGO,2018-03-07,510000.0,6200.0,69,8,4,Full,Warm Air Furnace,Central A/C,2.0,8,1.0,2018,3
202,7321 W FITCH AVE,CHICAGO,2019-10-01,475000.0,4750.0,80,5,3,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2019,10
203,6557 N OCONTO AVE,CHICAGO,2020-12-08,468000.0,4340.0,70,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,1.0,2020,12
278,6457 N OGALLAH AVE,CHICAGO,2018-07-12,679000.0,4125.0,9,8,4,Full,Warm Air Furnace,Central A/C,1.0,8,1.0,2018,7
234,6923 N MINNETONKA AVE,CHICAGO,2019-08-28,460000.0,5450.0,52,5,3,Partial,Warm Air Furnace,No Central A/C,0.0,5,0.0,2019,8
203,7274 N MCVICKER AVE,CHICAGO,2020-09-16,305000.0,5160.0,70,6,3,Partial,Warm Air Furnace,No Central A/C,0.0,6,0.0,2020,9
206,6531 N ALBANY AVE,CHICAGO,2018-09-10,524900.0,4375.0,83,8,4,Partial,Warm Air Furnace,Central A/C,1.0,8,1.0,2018,9
203,7301 W COYLE AVE,CHICAGO,2018-01-03,359000.0,4716.0,69,6,3,Full,Warm Air Furnace,No Central A/C,0.0,6,1.0,2018,1
278,7755 W COLUMBIA AVE,CHICAGO,2019-10-25,885000.0,6250.0,6,8,4,Full,Warm Air Furnace,Central A/C,1.0,8,1.0,2019,10
278,6575 N CALDWELL AVE,CHICAGO,2019-05-01,507500.0,10164.0,43,9,4,Partial,Warm Air Furnace,Central A/C,1.0,9,1.0,2019,5
204,2545 W FARWELL AVE,CHICAGO,2018-07-11,550000.0,6050.0,95,6,3,Full,Hot Water Steam,No Central A/C,1.0,6,0.0,2018,7
205,2614 W MORSE AVE,CHICAGO,2020-01-11,350000.0,4650.0,93,6,3,Full,Warm Air Furnace,No Central A/C,0.0,6,1.0,2020,1
203,6735 W ALBION AVE,CHICAGO,2020-01-10,315000.0,3720.0,92,5,2,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2020,1
205,7332 N OSCEOLA AVE,CHICAGO,2019-05-28,412000.0,4500.0,79,7,2,Full,Warm Air Furnace,Central A/C,1.0,7,1.0,2019,5
205,6723 N MOZART ST,CHICAGO,2019-08-21,325000.0,4059.0,79,7,4,Full,Warm Air Furnace,Central A/C,1.0,7,1.0,2019,8
203,6647 N WASHTENAW AVE,CHICAGO,2020-05-27,475000.0,4125.0,95,6,3,Full,Hot Water Steam,No Central A/C,0.0,6,0.0,2020,5
278,3129 W NORTH SHORE AVE,CHICAGO,2020-09-09,605000.0,4775.0,17,8,4,Full,Warm Air Furnace,Central A/C,1.0,8,2.0,2020,9
205,6691 N SIOUX AVE,CHICAGO,2018-06-13,472000.0,6200.0,81,6,3,Full,Hot Water Steam,No Central A/C,1.0,6,1.0,2018,6
203,6915 N OSCEOLA AVE,CHICAGO,2020-04-07,565000.0,7350.0,102,6,3,Full,Warm Air Furnace,No Central A/C,1.0,6,0.0,2020,4
203,6520 N HIAWATHA AVE,CHICAGO,2019-07-08,376000.0,4960.0,70,6,3,Full,Warm Air Furnace,Central A/C,1.0,6,0.0,2019,7
205,7423 N OZARK AVE,CHICAGO,2018-03-08,425000.0,5940.0,69,7,4,Full,Warm Air Furnace,Central A/C,1.0,7,0.0,2018,3
203,7422 N OCONTO AVE,CHICAGO,2018-07-03,311000.0,3750.0,65,5,3,Full,Warm Air Furnace,Central A/C,0.0,5,1.0,2018,7
204,2920 W GREENLEAF AVE,CHICAGO,2019-05-01,468000.0,3936.0,90,6,4,Full,Hot Water Steam,No Central A/C,1.0,6,1.0,2019,5
203,6332 W ESTES AVE,CHICAGO,2020-09-24,405000.0,5289.0,67,5,3,Full,Warm Air Furnace,Central A/C,0.0,5,0.0,2020,9
205,6644 N OTTAWA AVE,CHICAGO,2019-08-21,299900.0,3430.0,80,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2019,8
203,2750 W FARWELL AVE,CHICAGO,2019-07-23,326000.0,3100.0,62,5,2,Full,Warm Air Furnace,Central A/C,0.0,5,1.0,2019,7
202,7429 N OCONTO AVE,CHICAGO,2018-02-08,320000.0,3750.0,66,5,2,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2018,2
210,6419 N WHIPPLE ST,CHICAGO,2019-08-09,260000.0,4062.0,68,5,3,Full,Warm Air Furnace,No Central A/C,0.0,5,0.0,2019,8
203,2755 W FITCH AVE,CHICAGO,2020-01-13,347500.0,4280.0,66,7,4,Partial,Warm Air Furnace,Central A/C,0.0,7,2.0,2020,1
203,6641 N WHIPPLE ST,CHICAGO,2018-02-22,234000.0,3690.0,67,6,3,Full,Warm Air Furnace,Central A/C,0.0,6,1.0,2018,2
205,2957 W JARVIS AVE,CHICAGO,2020-01-10,565000.0,3720.0,69,8,4,Full,Warm Air Furnace,No Central A/C,1.0,8,1.0,2020,1
278,7727 W COLUMBIA AVE,CHICAGO,2019-02-07,250000.0,6250.0,3,9,4,Full,Warm Air Furnace,Central A/C,1.0,9,1.0,2019,2
206,3123 W CHASE AVE,CHICAGO,2019-08-20,560000.0,3750.0,69,7,4,Full,Warm Air Furnace,Central A/C,0.0,7,1.0,2019,8
206,6940 N MONON AVE,CHICAGO,2018-06-26,900000.0,7500.0,71,10,4,Full,Warm Air Furnace,No Central A/C,0.0,10,0.0,2018,6
205,6772 N OXFORD AVE,CHICAGO,2020-06-16,500000.0,6200.0,69,5,3,Full,Warm Air Furnace,Central A/C,2.0,5,2.0,2020,6
